video_id,publish_hour,publish_day_of_week,publish_month,publish_is_weekend,hours_to_trending,channel_age_days_at_publish,duration_seconds,is_short,title_length_chars,title_word_count,title_has_capitalized_word,title_uppercase_ratio,title_exclamation_count,title_question_count,title_has_number,title_has_bracket,title_emoji_count,description_length_chars,description_word_count,description_has_url,description_url_count,description_line_count,has_description,tag_count,has_tags,video_category,video_definition_hd,video_licensed_content,trending_country,channel_country,channel_subscriber_count,channel_view_count,channel_video_count,channel_have_hidden_subscribers,channel_avg_views_per_video,channel_sub_to_view_ratio,channel_description_length,channel_has_custom_url,log_channel_subscriber_count,log_channel_view_count,log_channel_video_count,log_channel_avg_views_per_video,_target_view_count,_target_like_count,_target_comment_count,_target_engagement_rate
8si_Lt3qyLU,20,6,7,1,3.5105555555555554,5094.997581018519,1226.0,0,31,5,1,0.25806451612903225,1,0,0,0,0,122,15,1,2,4,1,12,1,Gaming,1,1,Philippines,United States,25100000,29859777344,5858,0,5097264.824854899,0.0008405956853205931,250,1,17.038378443942648,24.11977817239871,8.675734219544788,15.444214841161168,347429,8919,1410,0.02972981530039231
tmtvxfbZ7Ec,2,5,7,1,45.745555555555555,738.5072873410995,491.0,0,64,12,1,0.359375,0,0,1,0,0,347,46,0,0,19,1,4,1,Gaming,1,1,Philippines,Philippines,221000,49124948,73,0,672944.493150685,0.004498732497386053,90,1,12.30592250537653,17.709877589985222,4.30406509320417,13.419419614486133,77518,1119,115,0.01591888335612374
hY369IW4MKQ,13,6,7,1,178.99833333333333,1423.6534190986806,305.0,0,55,10,0,0.16363636363636364,0,0,0,1,0,2432,392,1,8,82,1,13,1,Music,1,1,Philippines,Canada,206000,289320629,2143,0,135007.2930471302,0.000712012830581811,210,1,12.235636302128867,19.483046077462685,7.670428522190693,11.813091485512565,148273,311,1,0.002104226662979774
U-_OlGtYzjs,9,6,7,1,14.998611111111112,1919.8667406432294,869.0,0,44,7,1,0.4318181818181818,1,0,0,0,0,605,42,0,0,27,1,28,1,Gaming,1,1,Philippines,Philippines,456000,53857274,213,0,252851.05164319248,0.008466822884500244,54,1,13.030250281476574,17.801848049934865,5.365976015021851,12.440559820547556,25530,310,32,0.013396004700352527
K327tNc78Cg,21,5,7,1,26.99861111111111,4810.670636574074,1789.0,0,29,4,0,0.2413793103448276,1,0,0,0,0,401,53,1,5,7,1,0,0,Gaming,1,1,Philippines,United States,25500000,26153228132,1881,0,13903895.870281765,0.0009750230400353241,823,1,17.05418904934434,23.98723846660706,7.540090320145325,16.44767970919008,808479,22999,4726,0.034292789299412846
ejlQ6O0fFPE,11,5,7,1,36.99166666666667,2266.872544852477,855.0,0,54,10,1,0.3888888888888889,0,0,0,0,0,454,37,1,5,9,1,0,0,Gaming,1,1,Philippines,United Kingdom,8440000,7548527397,5345,0,1412259.5691300281,0.0011180988762595333,541,1,15.948492985055545,22.744618334560762,8.584103896698863,14.160702219054018,276927,13951,1935,0.057365298436049934
xRSeXWEquds,13,3,7,0,82.99222222222222,1286.7342574618056,228.0,0,37,7,0,0.13513513513513514,0,0,0,1,0,2232,322,1,14,94,1,16,1,People & Blogs,1,1,Philippines,United States,3110000,3566243317,1165,0,3061153.061802575,0.0008720661277302297,466,1,14.950133605698774,21.994778586813396,7.061334366910438,14.934302547207425,38528,212,16,0.005917774086378737
Ypltq2neP3o,10,4,7,0,61.99111111111111,2471.180331911042,1624.0,0,58,12,1,0.6724137931034483,0,1,1,0,0,901,74,1,15,28,1,16,1,Gaming,1,1,Philippines,Philippines,574000,218675579,1608,0,135992.27549751243,0.0026248930156028078,73,1,13.260386417460465,19.20309981960462,7.3833681469923835,11.820360718624519,73807,3422,173,0.04870811711626268
m6mjan3PX2Y,0,5,7,1,47.99,3624.5632175925925,275.0,0,45,8,1,0.3333333333333333,0,0,0,1,0,1257,107,1,11,23,1,44,1,Music,1,1,Philippines,United States,1040000,480252638,274,0,1752746.8540145985,0.002165526886704993,445,1,13.854732232655556,19.989822854652502,5.616771097666572,14.376695316715077,15669,129,26,0.009892143723275256
phdfuDHZjgU,14,6,7,1,9.999166666666667,1063.269387122199,855.0,0,53,12,1,0.22641509433962265,1,0,0,0,0,125,8,1,2,6,1,8,1,Gaming,1,1,Philippines,Canada,4890000,924339200,1445,0,639681.107266436,0.005290265737945551,67,1,15.40270306595001,20.64458966289035,7.27655640271871,13.368726624539677,347930,5750,710,0.018566953122754578
